f1_n,f2_n,ipc
1200000,900,1.3998
1200000,1000,1.397
1200000,1100,1.4173
1200000,1200,1.4211
1200000,1300,1.4291
1200000,1400,1.4559
1200000,1500,1.4584
1200000,1600,1.5064
1200000,1700,1.5267
1200000,1800,1.5438
1200000,1900,1.547
1200000,2000,1.5814
1300000,500,1.3647
1300000,600,1.3663
1300000,700,1.3933
1300000,800,1.3723
1300000,900,1.3811
1300000,1000,1.3957
1300000,1100,1.4411
1300000,1200,1.4314
1300000,1300,1.4403
1300000,1400,1.4524
1300000,1500,1.5134
1300000,1600,1.4872
1300000,1700,1.5132
1300000,1800,1.5439
1300000,1900,1.59
1300000,2000,1.5725
1400000,500,1.4014
1400000,600,1.4035
1400000,700,1.385
1400000,800,1.3815
1400000,900,1.4071
1400000,1000,1.4065
1400000,1100,1.4306
1400000,1200,1.4542
1400000,1300,1.4535
1400000,1400,1.4416
1400000,1500,1.4748
1400000,1600,1.5116
1400000,1700,1.5181
1400000,1800,1.5207
1400000,1900,1.5754
1400000,2000,1.6096
1500000,500,1.3754
1500000,600,1.4007
1500000,700,1.4606
1500000,800,1.4093
1500000,900,1.4172
1500000,1000,1.42
1500000,1100,1.4299
1500000,1200,1.433
1500000,1300,1.4514
1500000,1400,1.4638
1500000,1500,1.4939
1500000,1600,1.4898
1500000,1700,1.4739
1500000,1800,1.5442
1500000,1900,1.5513
1500000,2000,1.6085
1600000,500,1.4027
1600000,600,1.4058
1600000,700,1.4319
1600000,800,1.4304
1600000,900,1.4444
1600000,1000,1.4671
1600000,1100,1.4057
1600000,1200,1.4441
1600000,1300,1.4645
1600000,1400,1.4978
1600000,1500,1.4869
1600000,1600,1.5307
1600000,1700,1.5173
1600000,1800,1.5115
1600000,1900,1.5656
1600000,2000,1.5864
1700000,500,1.3675
1700000,600,1.4774
1700000,700,1.4087
1700000,800,1.4121
1700000,900,1.4607
1700000,1000,1.465
1700000,1100,1.4819
1700000,1200,1.4582
1700000,1300,1.4826
1700000,1400,1.4934
1700000,1500,1.4627
1700000,1600,1.5472
1700000,1700,1.5465
1700000,1800,1.5423
1700000,1900,1.5589
1700000,2000,1.5847
1800000,500,1.4377
1800000,600,1.4068
1800000,700,1.4382
1800000,800,1.4088
1800000,900,1.4391
1800000,1000,1.4541
1800000,1100,1.4802
1800000,1200,1.4633
1800000,1300,1.487
1800000,1400,1.4809
1800000,1500,1.5242
1800000,1600,1.5342
1800000,1700,1.5166
1800000,1800,1.5671
1800000,1900,1.5747
1800000,2000,1.5956
1900000,500,1.3678
1900000,600,1.4339
1900000,700,1.4418
1900000,800,1.4653
1900000,900,1.4697
1900000,1000,1.4475
1900000,1100,1.4325
1900000,1200,1.4592
1900000,1300,1.4745
1900000,1400,1.5051
1900000,1500,1.5033
1900000,1600,1.5543
1900000,1700,1.5449
1900000,1800,1.5874
1900000,1900,1.5585
1900000,2000,1.5758
