f1_n,f2_n,ipc
1700000,1800,2.6511
1700000,1900,2.6245
1700000,2000,2.6577
1800000,500,1.6631
1800000,600,1.7335
1800000,700,1.8362
1800000,800,2.0179
1800000,900,2.1648
1800000,1000,2.283
1800000,1100,2.4231
1800000,1200,2.497
1800000,1300,2.6127
1800000,1400,2.6209
1800000,1500,2.5949
1800000,1600,2.6052
1800000,1700,2.581
1800000,1800,2.6121
1800000,1900,2.5804
1800000,2000,2.6122
1900000,500,1.6396
1900000,600,1.747
1900000,700,1.8545
1900000,800,1.9967
1900000,900,2.1492
1900000,1000,2.2545
1900000,1100,2.3813
1900000,1200,2.4857
1900000,1300,2.6068
1900000,1400,2.6212
1900000,1500,2.6109
1900000,1600,2.5469
1900000,1700,2.6031
1900000,1800,2.6107
1900000,1900,2.6353
1900000,2000,2.5882
