f1_n,f2_length_of_message,f2_num_of_iterations,ipc
1000000,512,64,1.3557
1000000,1024,32,1.3489
1000000,1024,48,1.358
1000000,1024,64,1.4203
1000000,1536,32,1.377
1000000,1536,48,1.4115
1000000,1536,64,1.43
1000000,2048,32,1.4057
1000000,2048,48,1.3823
1000000,2048,64,1.4266
1100000,512,32,1.385
1100000,512,48,1.3914
1100000,512,64,1.3865
1100000,1024,32,1.3695
1100000,1024,48,1.366
1100000,1024,64,1.3575
1100000,1536,32,1.3822
1100000,1536,48,1.381
1100000,1536,64,1.3713
1100000,2048,32,1.3671
1100000,2048,48,1.3957
1100000,2048,64,1.3992
1200000,512,32,1.3652
1200000,512,48,1.3724
1200000,512,64,1.3872
1200000,1024,32,1.3775
1200000,1024,48,1.3795
1200000,1024,64,1.395
1200000,1536,32,1.3781
1200000,1536,48,1.4127
1200000,1536,64,1.4294
1200000,2048,32,1.4136
1200000,2048,48,1.3854
1200000,2048,64,1.4086
1300000,512,32,1.3829
1300000,512,48,1.3942
1300000,512,64,1.413
1300000,1024,32,1.3854
1300000,1024,48,1.4008
1300000,1024,64,1.3884
1300000,1536,32,1.422
1300000,1536,48,1.3941
1300000,1536,64,1.451
1300000,2048,32,1.3883
1300000,2048,48,1.4136
1300000,2048,64,1.3987
1400000,512,32,1.4083
1400000,512,48,1.3743
1400000,512,64,1.3889
1400000,1024,32,1.3685
1400000,1024,48,1.3788
1400000,1024,64,1.4102
1400000,1536,32,1.3831
1400000,1536,48,1.3873
1400000,1536,64,1.4058
1400000,2048,32,1.4
1400000,2048,48,1.3881
1400000,2048,64,1.3871
1500000,512,32,1.3882
1500000,512,48,1.3879
1500000,512,64,1.4054
1500000,1024,32,1.4092
1500000,1024,48,1.4181
1500000,1024,64,1.3982
1500000,1536,32,1.4164
1500000,1536,48,1.4044
1500000,1536,64,1.4031
1500000,2048,32,1.4276
1500000,2048,48,1.4461
1500000,2048,64,1.448
1600000,512,32,1.3977
1600000,512,48,1.4177
1600000,512,64,1.3957
1600000,1024,32,1.3942
1600000,1024,48,1.3968
1600000,1024,64,1.4385
1600000,1536,32,1.4036
1600000,1536,48,1.4071
1600000,1536,64,1.4043
1600000,2048,32,1.4425
1600000,2048,48,1.3963
1600000,2048,64,1.4248
1700000,512,32,1.33
1700000,512,48,1.3894
1700000,512,64,1.4155
1700000,1024,32,1.4276
1700000,1024,48,1.4273
1700000,1024,64,1.4153
1700000,1536,32,1.4387
1700000,1536,48,1.439
1700000,1536,64,1.4383
1700000,2048,32,1.4011
1700000,2048,48,1.4459
1700000,2048,64,1.4178
1800000,512,32,1.412
1800000,512,48,1.4175
1800000,512,64,1.4108
1800000,1024,32,1.4234
1800000,1024,48,1.4173
1800000,1024,64,1.4354
1800000,1536,32,1.4179
1800000,1536,48,1.4228
1800000,1536,64,1.4461
1800000,2048,32,1.4079
1800000,2048,48,1.4134
1800000,2048,64,1.4632
1900000,512,32,1.4192
1900000,512,48,1.4335
1900000,512,64,1.4571
1900000,1024,32,1.4228
1900000,1024,48,1.4143
1900000,1024,64,1.444
1900000,1536,32,1.4447
1900000,1536,48,1.44
1900000,1536,64,1.4623
1900000,2048,32,1.4209
1900000,2048,48,1.4275
1900000,2048,64,1.4473
