f1_num_of_row_col,f2_n,ipc
420,600000,1.1543
420,700000,1.1692
420,800000,1.1878
420,900000,1.1915
420,1000000,1.208
420,1100000,1.225
420,1200000,1.2265
420,1300000,1.2155
420,1400000,1.2463
420,1500000,1.2408
420,1600000,1.2378
420,1700000,1.2704
420,1800000,1.2701
420,1900000,1.2876
460,200000,1.1012
460,300000,1.1224
460,400000,1.1246
460,500000,1.1507
460,600000,1.1575
460,700000,1.1751
460,800000,1.1974
460,900000,1.1947
460,1000000,1.192
460,1100000,1.1773
460,1200000,1.2074
460,1300000,1.2433
460,1400000,1.2088
460,1500000,1.232
460,1600000,1.2668
460,1700000,1.2608
460,1800000,1.2729
460,1900000,1.2747
500,200000,1.0996
500,300000,1.1144
500,400000,1.1265
500,500000,1.1397
500,600000,1.1461
500,700000,1.1677
500,800000,1.183
500,900000,1.1958
500,1000000,1.1945
500,1100000,1.1846
500,1200000,1.2261
500,1300000,1.2015
500,1400000,1.2231
500,1500000,1.2246
500,1600000,1.227
500,1700000,1.2357
500,1800000,1.2679
500,1900000,1.2514
540,200000,1.1013
540,300000,1.1131
540,400000,1.1275
540,500000,1.1431
540,600000,1.1388
540,700000,1.1629
540,800000,1.1904
540,900000,1.1714
540,1000000,1.1801
540,1100000,1.1945
540,1200000,1.1907
540,1300000,1.2162
540,1400000,1.2133
540,1500000,1.2048
540,1600000,1.2199
540,1700000,1.2347
540,1800000,1.2484
540,1900000,1.2444
580,200000,1.0964
580,300000,1.1208
580,400000,1.1294
580,500000,1.1298
580,600000,1.1496
580,700000,1.1457
580,800000,1.1732
580,900000,1.1656
580,1000000,1.1878
580,1100000,1.1892
580,1200000,1.194
580,1300000,1.1906
580,1400000,1.1979
580,1500000,1.2186
580,1600000,1.2263
580,1700000,1.2231
580,1800000,1.2295
580,1900000,1.2414
620,200000,1.113
620,300000,1.1126
620,400000,1.1261
620,500000,1.1531
620,600000,1.1374
620,700000,1.1444
620,800000,1.153
620,900000,1.1682
620,1000000,1.1722
620,1100000,1.1819
620,1200000,1.1878
620,1300000,1.1792
620,1400000,1.1971
620,1500000,1.2138
620,1600000,1.206
620,1700000,1.2121
620,1800000,1.2359
620,1900000,1.2314
660,200000,1.1107
660,300000,1.1188
660,400000,1.1198
660,500000,1.147
660,600000,1.1421
660,700000,1.1528
660,800000,1.1592
660,900000,1.1687
660,1000000,1.169
660,1100000,1.1796
660,1200000,1.1779
660,1300000,1.1847
660,1400000,1.193
660,1500000,1.1985
660,1600000,1.1908
660,1700000,1.2088
660,1800000,1.2128
660,1900000,1.2109
700,200000,1.1069
700,300000,1.1237
700,400000,1.1326
700,500000,1.1295
700,600000,1.1316
700,700000,1.1478
700,800000,1.1481
700,900000,1.165
700,1000000,1.1796
700,1100000,1.1822
700,1200000,1.166
700,1300000,1.1649
700,1400000,1.1869
700,1500000,1.186
700,1600000,1.1843
700,1700000,1.2026
700,1800000,1.2051
700,1900000,1.2094
740,200000,1.1003
740,300000,1.1185
740,400000,1.1268
740,500000,1.1309
740,600000,1.1297
740,700000,1.1451
740,800000,1.1593
740,900000,1.173
740,1000000,1.1715
740,1100000,1.1711
740,1200000,1.1766
740,1300000,1.1948
740,1400000,1.1979
740,1500000,1.2008
740,1600000,1.1921
740,1700000,1.2058
740,1800000,1.2188
740,1900000,1.2349
780,200000,1.1099
780,300000,1.1162
780,400000,1.1316
780,500000,1.1253
780,600000,1.1279
780,700000,1.1573
780,800000,1.1522
780,900000,1.1546
780,1000000,1.1721
780,1100000,1.1767
780,1200000,1.1812
780,1300000,1.2015
780,1400000,1.1821
780,1500000,1.1895
780,1600000,1.1958
780,1700000,1.2016
780,1800000,1.2139
780,1900000,1.2159
820,200000,1.1201
820,300000,1.1218
820,400000,1.1294
820,500000,1.1296
820,600000,1.1216
820,700000,1.1407
820,800000,1.1502
820,900000,1.1584
820,1000000,1.1516
820,1100000,1.1747
820,1200000,1.1813
820,1300000,1.1846
820,1400000,1.1923
820,1500000,1.1948
820,1600000,1.2189
820,1700000,1.2209
820,1800000,1.2317
820,1900000,1.2286
860,200000,1.1076
860,300000,1.1191
860,400000,1.1279
860,500000,1.1285
860,600000,1.1205
860,700000,1.1387
860,800000,1.1546
860,900000,1.1463
860,1000000,1.1827
860,1100000,1.1755
860,1200000,1.1761
860,1300000,1.1789
860,1400000,1.1887
860,1500000,1.1954
860,1600000,1.2009
860,1700000,1.2096
860,1800000,1.1983
860,1900000,1.2053
900,200000,1.1025
900,300000,1.1161
900,400000,1.1228
900,500000,1.1262
900,600000,1.1302
900,700000,1.1409
900,800000,1.1509
900,900000,1.1583
900,1000000,1.1664
900,1100000,1.1768
900,1200000,1.1727
900,1300000,1.1985
900,1400000,1.1947
900,1500000,1.1987
900,1600000,1.2031
900,1700000,1.2028
900,1800000,1.2117
900,1900000,1.2365
940,200000,1.111
940,300000,1.1092
940,400000,1.1337
940,500000,1.1097
940,600000,1.1413
940,700000,1.1414
940,800000,1.1501
940,900000,1.1522
940,1000000,1.1562
940,1100000,1.174
940,1200000,1.1757
940,1300000,1.1837
940,1400000,1.195
940,1500000,1.2011
940,1600000,1.1924
940,1700000,1.2066
940,1800000,1.2046
940,1900000,1.2056
980,200000,1.1067
980,300000,1.1181
980,400000,1.132
980,500000,1.1372
980,600000,1.1382
980,700000,1.1561
980,800000,1.1664
980,900000,1.1545
980,1000000,1.1599
980,1100000,1.188
980,1200000,1.164
980,1300000,1.179
980,1400000,1.1796
980,1500000,1.1909
980,1600000,1.2123
980,1700000,1.2054
980,1800000,1.2083
980,1900000,1.2063
