f1_num_of_row_col,f2_n,ipc
340,1900,1.2819
340,2000,1.2995
380,500,1.0594
380,600,1.0648
380,700,1.0741
380,800,1.0699
380,900,1.077
380,1000,1.0961
380,1100,1.0986
380,1200,1.1263
380,1300,1.1286
380,1400,1.1406
380,1500,1.1652
380,1600,1.1824
380,1700,1.1855
380,1800,1.2324
380,1900,1.258
380,2000,1.289
420,500,1.0752
420,600,1.0717
420,700,1.0761
420,800,1.0935
420,900,1.0762
420,1000,1.0901
420,1100,1.1045
420,1200,1.1248
420,1300,1.13
420,1400,1.1468
420,1500,1.1595
420,1600,1.1795
420,1700,1.2041
420,1800,1.2163
420,1900,1.2444
420,2000,1.2742
460,500,1.0819
460,600,1.0869
460,700,1.0864
460,800,1.0802
460,900,1.0781
460,1000,1.1002
460,1100,1.106
460,1200,1.1157
460,1300,1.1396
460,1400,1.1438
460,1500,1.1615
460,1600,1.1736
460,1700,1.1944
460,1800,1.2025
460,1900,1.2291
460,2000,1.244
500,500,1.08
500,600,1.083
500,700,1.0968
500,800,1.0981
500,900,1.1085
500,1000,1.1013
500,1100,1.1104
500,1200,1.1128
500,1300,1.1394
500,1400,1.1396
500,1500,1.1398
500,1600,1.1653
500,1700,1.1813
500,1800,1.1991
500,1900,1.209
500,2000,1.2415
540,500,1.0849
540,600,1.0932
540,700,1.0976
540,800,1.087
540,900,1.095
540,1000,1.1004
540,1100,1.1177
540,1200,1.1272
540,1300,1.1267
540,1400,1.1464
540,1500,1.1494
540,1600,1.1671
540,1700,1.172
540,1800,1.1916
540,1900,1.2186
540,2000,1.2196
580,500,1.0933
580,600,1.0895
580,700,1.0898
580,800,1.0952
580,900,1.1029
580,1000,1.1078
580,1100,1.1127
580,1200,1.125
580,1300,1.1263
580,1400,1.125
580,1500,1.1568
580,1600,1.1583
580,1700,1.1674
580,1800,1.1839
580,1900,1.2041
580,2000,1.2062
620,500,1.0889
620,600,1.0882
620,700,1.0978
620,800,1.0992
620,900,1.112
620,1000,1.1013
620,1100,1.108
620,1200,1.1153
620,1300,1.1325
620,1400,1.1306
620,1500,1.1433
620,1600,1.1485
620,1700,1.1625
620,1800,1.1754
620,1900,1.188
620,2000,1.2091
660,500,1.097
660,600,1.1109
660,700,1.1023
660,800,1.0995
660,900,1.0954
660,1000,1.1055
660,1100,1.1187
660,1200,1.1241
660,1300,1.1193
660,1400,1.131
660,1500,1.1374
660,1600,1.1409
660,1700,1.1474
660,1800,1.1624
660,1900,1.1931
660,2000,1.2062
700,500,1.0946
700,600,1.1028
700,700,1.1077
700,800,1.1104
700,900,1.09
700,1000,1.1153
700,1100,1.1097
700,1200,1.122
700,1300,1.1253
700,1400,1.1319
700,1500,1.1429
700,1600,1.1467
700,1700,1.1695
700,1800,1.1801
700,1900,1.1936
700,2000,1.1999
740,500,1.0935
740,600,1.112
740,700,1.1014
740,800,1.0979
740,900,1.1011
740,1000,1.1052
740,1100,1.1127
740,1200,1.1214
740,1300,1.1288
740,1400,1.1277
740,1500,1.1311
740,1600,1.1276
740,1700,1.1629
740,1800,1.1866
740,1900,1.1746
740,2000,1.1958
780,500,1.1155
780,600,1.0756
780,700,1.1036
780,800,1.0995
780,900,1.0983
780,1000,1.1114
780,1100,1.1051
780,1200,1.1255
780,1300,1.1223
780,1400,1.1348
780,1500,1.1441
780,1600,1.1411
780,1700,1.1659
780,1800,1.168
780,1900,1.1803
780,2000,1.1969
820,500,1.1037
820,600,1.0916
820,700,1.0977
820,800,1.1154
820,900,1.1056
820,1000,1.111
820,1100,1.1077
820,1200,1.1186
820,1300,1.1285
820,1400,1.1457
820,1500,1.1361
820,1600,1.1433
820,1700,1.1567
820,1800,1.1639
820,1900,1.1762
820,2000,1.1928
860,500,1.0893
860,600,1.0901
860,700,1.0881
860,800,1.0967
860,900,1.1029
860,1000,1.1001
860,1100,1.1091
860,1200,1.1174
860,1300,1.1306
860,1400,1.1294
860,1500,1.1327
860,1600,1.1521
860,1700,1.1571
860,1800,1.1745
860,1900,1.1729
860,2000,1.1953
900,500,1.0983
900,600,1.1024
900,700,1.0899
900,800,1.1034
900,900,1.0999
900,1000,1.1079
900,1100,1.1057
900,1200,1.1115
900,1300,1.1256
900,1400,1.1235
900,1500,1.1526
900,1600,1.1566
900,1700,1.1588
900,1800,1.1665
900,1900,1.1813
900,2000,1.1907
940,500,1.1004
940,600,1.0928
940,700,1.0967
940,800,1.097
940,900,1.1
940,1000,1.1097
940,1100,1.0999
940,1200,1.111
940,1300,1.1269
940,1400,1.1237
940,1500,1.1495
940,1600,1.1451
940,1700,1.1518
940,1800,1.171
940,1900,1.1832
940,2000,1.1967
980,500,1.1004
980,600,1.0976
980,700,1.0993
980,800,1.0973
980,900,1.1156
980,1000,1.0998
980,1100,1.1114
980,1200,1.1159
980,1300,1.126
980,1400,1.1352
980,1500,1.1357
980,1600,1.1457
980,1700,1.1632
980,1800,1.1682
980,1900,1.1764
980,2000,1.193
