f1_num_of_row_col,f2_n,ipc
780,2000,2.0688
820,500,1.2073
820,600,1.2722
820,700,1.3706
820,800,1.4784
820,900,1.6154
820,1000,1.7579
820,1100,1.8939
820,1200,2.0294
820,1300,2.0839
820,1400,2.1434
820,1500,2.099
820,1600,2.0811
820,1700,2.0398
820,1800,2.0275
820,1900,2.0367
820,2000,2.0455
860,500,1.2047
860,600,1.2839
860,700,1.3731
860,800,1.4747
860,900,1.6078
860,1000,1.7462
860,1100,1.8921
860,1200,2.0208
860,1300,2.1708
860,1400,2.1503
860,1500,2.0909
860,1600,2.1107
860,1700,2.0451
860,1800,2.0962
860,1900,2.1054
860,2000,2.0933
900,500,1.198
900,600,1.2774
900,700,1.3631
900,800,1.4825
900,900,1.6051
900,1000,1.7406
900,1100,1.8963
900,1200,2.0394
900,1300,2.1114
900,1400,2.0874
900,1500,2.184
900,1600,2.0828
900,1700,2.0898
900,1800,2.0972
900,1900,2.0806
900,2000,2.0797
940,500,1.2071
940,600,1.276
940,700,1.3697
940,800,1.4754
940,900,1.6055
940,1000,1.7385
940,1100,1.8886
940,1200,2.0216
940,1300,2.0732
940,1400,2.0896
940,1500,2.1584
940,1600,2.1355
940,1700,2.1356
940,1800,2.0624
940,1900,2.0841
940,2000,2.0649
980,500,1.1979
980,600,1.2764
980,700,1.3629
980,800,1.4741
980,900,1.6087
980,1000,1.744
980,1100,1.8915
980,1200,2.0231
980,1300,2.1366
980,1400,2.1441
980,1500,2.1666
980,1600,2.136
980,1700,2.1331
980,1800,2.1016
980,1900,2.1131
980,2000,2.0505
